Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu3147,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu828,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1979,Bacteria,na,na,na,na,na,na
Otu848,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1046,Bacteria,Verrucomicrobia,na,na,na,na,na
Otu2786,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu888,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2413;otu1314,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
Otu318,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,na
Otu3251,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1827,Bacteria,na,na,na,na,na,na
Otu653,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
Otu3452,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi
Otu3037;otu1582,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
Otu946;otu1949;otu1309,Bacteria,Tenericutes,Mollicutes,na,na,na,na
Otu1269,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2226,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,na
Otu3563,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu770,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu3795,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu3233,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,na,na,na
Otu3582,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
Otu1437,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na
Otu230,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,na
Otu2450,Bacteria,na,na,na,na,na,na
Otu3706,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu1535,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,na,na
Otu3654,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
Otu488,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,na,na
Otu2965,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium mayombei
Otu3208,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1439,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,na,na
Otu2023,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu2219,Bacteria,na,na,na,na,na,na
Otu1456,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,na,na
Otu2444,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu700,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,na,na
Otu1577,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,na
Otu1854,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
Otu2114,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2127,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes
Otu1295,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu1426,Bacteria,Bacteroidetes,na,na,na,na,na
Otu1677,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,na
Otu1848,Bacteria,na,na,na,na,na,na
Otu1904,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu2570,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Runella,na
Otu3478,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2762,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,na
Otu3709,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu3163,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1799,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
Otu2161,Bacteria,Firmicutes,na,na,na,na,na
Otu1375,Bacteria,na,na,na,na,na,na
Otu3671,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1735,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1795,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,na,na
Otu90,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na
Otu3241,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,na,na
Otu2667,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lactonifactor,Lactonifactor longoviformis
Otu965,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,na,na
Otu447,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2352,Bacteria,na,na,na,na,na,na
Otu2435,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
Otu3916,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu648,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu3059,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu3388,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu3101,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1721;otu1225,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,na,na
Otu2666,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XII. Incertae Sedis,na,na
Otu829,Bacteria,Proteobacteria,na,na,na,na,na
Otu981,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu461,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Slackia,na
Otu1860,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes
Otu1992,Bacteria,na,na,na,na,na,na
Otu3154,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,na,na
Otu2145,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2709,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu714,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu3016,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
Otu2173,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu492,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu1184,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2472,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2501,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu3423,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na
Otu3322,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1490,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na,na
Otu2204,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Weissella,Weissella koreensis
Otu2394,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,na,na,na
Otu2515,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3756,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2118,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu2356,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu1154,Bacteria,na,na,na,na,na,na
Otu1870,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,na,na
Otu3050,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu3270;otu3258,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu1202,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu503,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Hydrogenoanaerobacterium,Hydrogenoanaerobacterium saccharovorans
Otu3309,Bacteria,Tenericutes,Mollicutes,Entomoplasmatales,Spiroplasmataceae,Spiroplasma,Spiroplasma taiwanense
Otu2044,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2839,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1322,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu750,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2608,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,na,na,na
Otu2684,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioides,Nocardioides aquaticus
Otu3707,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu3173,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3078,Bacteria,Firmicutes,na,na,na,na,na
Otu3901,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1221,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,na,na
Otu1563,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
Otu3362,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,na,na
Otu2093,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu2573,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu479,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XI. Incertae Sedis,Peptoniphilus,na
Otu3641,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,na,na
Otu242,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3493,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1693,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
Otu261,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,na,na
Otu3096,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu2211,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,Acetivibrio cellulolyticus
Otu3793,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu3772,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,Micrococcus flavus
Otu221,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi
Otu2507,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,na
Otu3881,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia,Hespellia stercorisuis
Otu392,Bacteria,na,na,na,na,na,na
Otu1944,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu2076,Bacteria,Actinobacteria,Actinobacteria,Coriobacteriales,Coriobacteriaceae,Atopobium,na
Otu2505,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Selenomonas,Selenomonas ruminantium
Otu2860,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Lactonifactor,Lactonifactor longoviformis
Otu3704,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia faecis
Otu785,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus flavefaciens
