Otu,Domain,Phylum,Class,Order,Family,Genus,Species
Otu763,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,na
Otu759,Bacteria,na,na,na,na,na,na
Otu766,Bacteria,na,na,na,na,na,na
Otu764,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu760,Bacteria,Firmicutes,na,na,na,na,na
Otu770,Bacteria,na,na,na,na,na,na
Otu769,Bacteria,Firmicutes,na,na,na,na,na
Otu767,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na
Otu771,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu765,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII,na
Otu768,Eukaryota,Plantae,Liliopsida,Poales,Poaceae,Zea,na
Otu775,Bacteria,Proteobacteria,na,na,na,na,na
Otu773,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu774,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu776,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum,na
Otu780,Bacteria,na,na,na,na,na,na
Otu779,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu777,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu781,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu772,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,na,na,na
Otu782,Bacteria,na,na,na,na,na,na
Otu778,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu785,Bacteria,na,na,na,na,na,na
Otu786,Bacteria,na,na,na,na,na,na
Otu784,Bacteria,na,na,na,na,na,na
Otu783,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella,na
Otu787,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu791,Bacteria,na,na,na,na,na,na
Otu789,Bacteria,na,na,na,na,na,na
Otu788,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,na
Otu792,Bacteria,na,na,na,na,na,na
Otu790,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,na
Otu794,Bacteria,na,na,na,na,na,na
Otu797,Bacteria,Proteobacteria,na,na,na,na,na
Otu799,Bacteria,na,na,na,na,na,na
Otu793,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,na
Otu798,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,na,na
Otu802,Bacteria,na,na,na,na,na,na
Otu796,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,na
Otu795,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,na
Otu800,Bacteria,Firmicutes,na,na,na,na,na
Otu801,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu804,Bacteria,na,na,na,na,na,na
Otu805,Bacteria,na,na,na,na,na,na
Otu809,Bacteria,na,na,na,na,na,na
Otu808,Bacteria,na,na,na,na,na,na
Otu803,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu806,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu810,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu813,Bacteria,Proteobacteria,na,na,na,na,na
Otu812,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu807,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII,na
Otu815,Bacteria,na,na,na,na,na,na
Otu816,Bacteria,na,na,na,na,na,na
Otu811,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu814,Bacteria,Bacteroidetes,na,na,na,na,na
Otu818,Bacteria,na,na,na,na,na,na
Otu817,Bacteria,Firmicutes,na,na,na,na,na
Otu822,Bacteria,na,na,na,na,na,na
Otu823,Bacteria,na,na,na,na,na,na
Otu819,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu821,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu820,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu826,Bacteria,na,na,na,na,na,na
Otu827,Bacteria,na,na,na,na,na,na
Otu824,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu829,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu831,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,na
Otu825,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu828,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,na
Otu832,Bacteria,na,na,na,na,na,na
Otu830,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu836,Bacteria,Firmicutes,na,na,na,na,na
Otu833,Bacteria,Bacteroidetes,na,na,na,na,na
Otu835,Bacteria,Bacteroidetes,na,na,na,na,na
Otu834,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,na,na
Otu841,Bacteria,na,na,na,na,na,na
Otu838,Bacteria,na,na,na,na,na,na
Otu845,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu840,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu844,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu843,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,na
Otu839,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis,na
Otu842,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu846,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Turicimonas,na
Otu837,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu847,Bacteria,na,na,na,na,na,na
Otu851,Bacteria,na,na,na,na,na,na
Otu849,Bacteria,na,na,na,na,na,na
Otu852,Bacteria,na,na,na,na,na,na
Otu848,Bacteria,Firmicutes,na,na,na,na,na
Otu850,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu853,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu855,Bacteria,Proteobacteria,na,na,na,na,na
Otu857,Bacteria,na,na,na,na,na,na
Otu856,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu859,Bacteria,na,na,na,na,na,na
Otu854,Bacteria,Firmicutes,na,na,na,na,na
Otu860,Bacteria,na,na,na,na,na,na
Otu862,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,na
Otu864,Bacteria,na,na,na,na,na,na
Otu861,Bacteria,Firmicutes,na,na,na,na,na
Otu863,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia,na
Otu858,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu867,Bacteria,na,na,na,na,na,na
Otu865,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu868,Bacteria,na,na,na,na,na,na
Otu869,Bacteria,na,na,na,na,na,na
Otu870,Bacteria,na,na,na,na,na,na
Otu872,Bacteria,na,na,na,na,na,na
Otu866,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu873,Bacteria,Proteobacteria,na,na,na,na,na
Otu875,Bacteria,na,na,na,na,na,na
Otu877,Bacteria,na,na,na,na,na,na
Otu871,,,Bacteria,Acidobacteria,Acidobacteria_Gp16,Gp16,na
Otu876,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu878,Bacteria,Proteobacteria,na,na,na,na,na
Otu879,Bacteria,na,na,na,na,na,na
Otu881,Bacteria,na,na,na,na,na,na
Otu880,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Schlesneria,na
Otu885,Bacteria,na,na,na,na,na,na
Otu886,Bacteria,na,na,na,na,na,na
Otu883,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Millionella,na
Otu882,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,na
Otu874,Bacteria,Firmicutes,na,na,na,na,na
Otu887,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu884,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu888,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,na
Otu891,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu889,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,na
Otu894,Bacteria,na,na,na,na,na,na
Otu892,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnobacterium,na
Otu890,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu893,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu896,Bacteria,na,na,na,na,na,na
Otu898,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu897,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu900,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu902,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,na
Otu904,Bacteria,na,na,na,na,na,na
Otu903,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu895,Bacteria,na,na,na,na,na,na
Otu901,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu899,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,na
Otu905,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,na
Otu908,Bacteria,na,na,na,na,na,na
Otu906,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu909,Bacteria,na,na,na,na,na,na
Otu910,Bacteria,na,na,na,na,na,na
Otu907,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,na
Otu911,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu913,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu917,Bacteria,Proteobacteria,na,na,na,na,na
Otu914,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu916,Bacteria,Proteobacteria,na,na,na,na,na
Otu918,Bacteria,Firmicutes,na,na,na,na,na
Otu920,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu915,Bacteria,Firmicutes,Bacilli,Lactobacillales,na,na,na
Otu919,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
Otu922,Bacteria,na,na,na,na,na,na
Otu923,Bacteria,na,na,na,na,na,na
Otu921,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu926,Bacteria,na,na,na,na,na,na
Otu924,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Emticicia,na
Otu925,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu928,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,na,na
Otu930,Bacteria,Bacteroidetes,na,na,na,na,na
Otu912,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,na
Otu927,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu932,Bacteria,na,na,na,na,na,na
Otu929,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum,na
Otu934,Bacteria,na,na,na,na,na,na
Otu933,Bacteria,na,na,na,na,na,na
Otu931,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu937,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,na
Otu939,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,na
Otu941,Bacteria,na,na,na,na,na,na
Otu940,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu944,Bacteria,na,na,na,na,na,na
Otu935,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu936,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,na
Otu942,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu943,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu945,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu947,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,na
Otu938,Bacteria,na,na,na,na,na,na
Otu950,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu946,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu948,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu953,Bacteria,na,na,na,na,na,na
Otu951,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas,na
Otu949,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu952,Bacteria,Actinobacteria,Actinobacteria,na,na,na,na
Otu954,Bacteria,na,na,na,na,na,na
Otu955,Bacteria,na,na,na,na,na,na
Otu958,Bacteria,na,na,na,na,na,na
Otu959,Bacteria,na,na,na,na,na,na
Otu961,Bacteria,na,na,na,na,na,na
Otu960,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na,na
Otu963,Bacteria,na,na,na,na,na,na
Otu957,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na
Otu956,Bacteria,na,na,na,na,na,na
Otu962,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu964,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu965,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,na
Otu967,Bacteria,na,na,na,na,na,na
Otu968,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,na,na,na
Otu973,Bacteria,na,na,na,na,na,na
Otu966,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu974,Bacteria,na,na,na,na,na,na
Otu971,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,na
Otu969,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu975,Bacteria,na,na,na,na,na,na
Otu970,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu976,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu979,Bacteria,na,na,na,na,na,na
Otu977,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia,na
Otu978,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu982,Bacteria,Proteobacteria,Alphaproteobacteria,na,na,na,na
Otu972,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu981,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,na
Otu980,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Microvirga,na
Otu984,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu983,Bacteria,Firmicutes,na,na,na,na,na
Otu985,Bacteria,na,na,na,na,na,na
Otu987,Bacteria,na,na,na,na,na,na
Otu988,Bacteria,Proteobacteria,na,na,na,na,na
Otu989,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu986,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Couchioplanes,na
Otu994,Bacteria,na,na,na,na,na,na
Otu995,Bacteria,na,na,na,na,na,na
Otu993,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu990,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,na
Otu991,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu997,Bacteria,na,na,na,na,na,na
Otu992,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu996,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu998,Bacteria,na,na,na,na,na,na
Otu999,Bacteria,na,na,na,na,na,na
Otu1001,Bacteria,na,na,na,na,na,na
Otu1000,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na
Otu1007,Bacteria,na,na,na,na,na,na
Otu1002,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1005,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1004,Bacteria,na,na,na,na,na,na
Otu1008,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu1006,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1003,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1011,Bacteria,Proteobacteria,na,na,na,na,na
Otu1014,Bacteria,na,na,na,na,na,na
Otu1009,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1015,Bacteria,Firmicutes,na,na,na,na,na
Otu1013,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1012,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1010,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,na
Otu1017,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1021,Bacteria,na,na,na,na,na,na
Otu1016,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1020,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,na
Otu1022,Bacteria,na,na,na,na,na,na
Otu1019,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,na
Otu1024,Bacteria,na,na,na,na,na,na
Otu1018,Bacteria,Actinobacteria,Coriobacteriia,na,na,na,na
Otu1023,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu1028,Bacteria,na,na,na,na,na,na
Otu1029,Bacteria,Firmicutes,Bacilli,na,na,na,na
Otu1025,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Amylolactobacillus,na
Otu1026,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na,na
Otu1027,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,na
Otu1032,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,na
Otu1034,Bacteria,na,na,na,na,na,na
Otu1031,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu1030,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetivibrio,na
