Otu,Domain,Phylum,Class,Order,Family,Genus
Otu14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu2,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu11,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella
Otu9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu23,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu26,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia
Otu15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu3,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Otu45,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu27,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu42,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu20,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
Otu52,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia
Otu47,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu19,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu48,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu43,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes
Otu37,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu55,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu38,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella
Otu13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu22,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu21,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu30,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
Otu40,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu6,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
Otu33,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu60,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu57,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu28,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Otu44,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu35,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Otu53,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter
Otu29,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu51,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora
Otu50,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Otu1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu59,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Otu36,Bacteria,Firmicutes,na,na,na,na
Otu56,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Intestinimonas
Otu41,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor
Otu46,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu61,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Extibacter
Otu17,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Otu34,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
Otu10,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Otu5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Otu31,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
Otu49,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu62,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu54,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio
Otu18,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
Otu24,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto
Otu39,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII
Otu63,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus
Otu58,Eukaryota,Plantae,Liliopsida,Poales,Poaceae,Zea
Otu64,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu65,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu73,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu70,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella
Otu109,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia
Otu69,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu82,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Mediterraneibacter
Otu67,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Otu95,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu66,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu86,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu116,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu71,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter
Otu79,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor
Otu76,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Otu78,Bacteria,Tenericutes,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Acholeplasma
Otu91,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu75,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu97,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu101,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu84,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia
Otu105,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella
Otu77,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerocolumna
Otu81,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu90,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes
Otu89,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes
Otu93,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes
Otu72,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu96,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerosporobacter
Otu102,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu74,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter
Otu83,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum
Otu92,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu94,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia
Otu104,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu121,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
Otu68,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
Otu88,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter
Otu99,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu80,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acutalibacter
Otu124,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu87,,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,Chloroplast,Streptophyta
Otu113,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu85,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Otu107,Bacteria,Cyanobacteria/Chloroplast,Chloroplast,na,Chloroplast,Streptophyta
Otu115,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu114,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
Otu111,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter
Otu123,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu106,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu119,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu110,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta
Otu120,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu118,Bacteria,Firmicutes,na,na,na,na
Otu103,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus
Otu108,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,na
Otu100,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,Mogibacterium
Otu98,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,na
Otu122,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella
Otu112,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII
Otu117,Bacteria,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Anaerosalibacter
Otu135,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Otu128,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV
Otu159,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu125,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
Otu164,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor
Otu126,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu129,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Otu132,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu137,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu146,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Syntrophococcus
Otu133,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na
Otu154,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu139,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Colidextribacter
Otu155,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Papillibacter
Otu144,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu162,Bacteria,na,na,na,na,na
Otu151,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu145,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter
Otu153,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus
Otu127,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,na
Otu142,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu131,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus
Otu130,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu158,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flavonifractor
Otu140,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus
Otu160,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Otu136,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu163,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter
Otu141,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia
Otu166,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu156,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu149,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu138,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus
Otu147,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum
Otu150,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Anaerotruncus
Otu165,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
Otu134,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium
Otu157,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Otu171,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu176,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu186,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu168,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Johnsonella
Otu175,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu148,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus
Otu179,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
Otu177,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Dysosmobacter
Otu143,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_Incertae_Sedis_XIII,na
Otu169,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Harryflintia
Otu152,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu185,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu161,Eukaryota,Plantae,Liliopsida,Poales,Poaceae,Zea
Otu178,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Otu167,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_incertae_sedis,Marinisporobacter
Otu172,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
