Otu,S1,HF,HFHF,LP
Roseburia OTU17,0.0004518242397656,0.0426948616902033,0.0037547966736989,0.0375195552284518
Clostridium_XVIII OTU34,0.0011728353953609,0.039344523102045,0.0062882617736856,0.0049318028613924
Bacteroidales OTU25,0.0067526612920119,0.0344156188269456,0.0014035918250859,0.0067658913515818
Bacteroidales OTU22,0.0417135555568772,0.0152330659329891,0.0056684652032951,0.0050599383005949
Akkermansia OTU2,0.0226076707864801,0.0583123396694039,0.4066692410657803,0.229467344780763
Clostridium_XlVa OTU7,0.0025784118721882,0.1557431245843569,0.0009237688671296,0.089202223966519
F. rodentium OTU10,0.0035118867332736,0.0041520418649506,0.0294015145627781,0.0732026475695117
Cellulosilyticum OTU38,0.009101624522979,0.0022562141918266,0.0004161266454805,0.0194591954350471
Lacrimispora OTU26,0.0001749304791095,0.0235427850857377,0.000155896397094,0.0040458295476734
E. coprostanoligenes OTU6,0.0034726818557828,0.0703005579610665,0.0052234944887459,0.133280411362648
M. gordoncarteri OTU20,0.0066859319340437,0.0029616835527122,0.0053961810966332,0.0440746573731303
Romboutsia OTU29,0.0043203315387169,0.0413262518122792,0.0006197750626597,0.0408342663819591
